year,term,score
2003,life,0.45583479565171714
2003,government,0.43986810655168673
2003,place,0.49858058982584447
2003,poor,0.4841110241886308
2003,security,0.4464607687562035
2003,make,0.4445589770781089
2003,country,0.3465458260733107
2003,always,0.7440356527529743
2003,cannot,0.668139916059844
2003,shared,1.0
2003,shared,0.6174574010667025
2003,common,0.5798036265415359
2003,together,0.5315770052562813
2003,together,0.7977182810921065
2003,freedom,0.6030303010723881
2003,death,0.7176544959042247
2003,end,0.696399328337164
2003,greater,0.6118585296509904
2003,want,0.5628755111072291
2003,lives,0.5556980283293288
2003,friends,1.0
2003,young,0.5468813168299279
2003,men,0.5302517528363813
2003,work,0.4597403161005016
2003,together,0.45650054290013714
2003,powerful,0.7360050023666675
2003,respect,0.6769760974297703
2003,among,0.5912390004940591
2003,vision,0.5851472184969483
2003,confidence,0.5550127719071613
2003,help,1.0
2003,always,0.4360554082599173
2003,able,0.4290708799835514
2003,others,0.4200984719664465
2003,bring,0.40518463699851154
2003,therefore,0.3873529873597189
2003,good,0.3674972215578783
2003,face,0.7609256202808186
2003,make,0.6488391175015973
2003,non,0.5452670239875852
2003,south,0.32513915417683775
2003,white,0.2790383691509752
2003,challenge,0.25372978471024515
2003,common,0.2507170741640912
2003,share,0.24558886889097395
2003,south africans,0.23464103376081924
2003,work,0.2314943849737235
2003,together,0.22986305250579006
2003,africans,0.22893700673991377
2003,poverty,0.22444352180332636
2003,south africa,0.18894079868629385
2003,africa,0.1777230520109446
2003,prison,0.9611715210609262
2003,even,0.2759516390627631
2003,shared,0.7214934345112022
2003,spirit,0.6924212763608795
2003,privilege,0.6128020186434611
2003,south africa,0.42416547941395655
2003,africa,0.39898203079101496
2003,freedom,0.3900931586739286
2003,south,0.3649630100184159
2003,life,1.0
2003,struggle,0.746073646807565
2003,freedom,0.6658634346014659
2003,gentlemen,0.7167804426112298
2003,friends,0.6972989295058825
2003,opportunity,0.7944049043728834
2003,want,0.4423174610758285
2003,make,0.4162644730645927
2003,building,1.0
2003,building,0.7611158651577383
2003,work,0.6486159416828942
2003,fight,0.44056038604910025
2003,challenge,0.4334173937962263
2003,join,0.4176188205994412
2003,children,0.3993082235859531
2003,society,0.3899556698189685
2003,today,0.3635078373748724
2003,death,0.5974452096081838
2003,women,0.5919348354689647
2003,children,0.5409920258881482
2003,year,0.6548058827307014
2003,children,0.573292100131071
2003,violence,0.49250931348409327
2003,children,1.0
2003,death,0.6168684936089349
2003,children,0.5585799847368909
2003,even,0.554492256252491
2003,war,0.6005434882272191
2003,children,0.5720566255854386
2003,society,0.5586579775423288
2003,address,0.7417415535848602
2003,need,0.6706858189089119
2003,right,0.6098775559884195
2003,education,0.5969990134522569
2003,good,0.5211924257302902
2003,welcome,0.6181629768919868
2003,children,0.5888403313914273
2003,life,0.5207125868719431
2003,care,0.64804407802814
2003,children,0.5686204729870978
2003,support,0.5066652056660168
2003,continue,1.0
2003,greatest,0.5598072649366977
2003,children,0.4906597406343305
2003,society,0.47916756157433804
2003,opportunity,0.46504547409866104
2003,towards,1.0
2003,award,1.0
2003,award,0.5061543917533474
2003,contribution,0.48968575936398995
2003,work,0.4255028886508976
2003,honour,0.40995676613859067
2003,thank,0.3935712520393766
2003,celebrate,0.47589387719294146
2003,contribution,0.4711233796925916
2003,business,0.47009952984715137
2003,gentlemen,0.43266231455330556
2003,thank,0.37865225783053713
2003,fear,0.5476095213285459
2003,long,0.49924018393305586
2003,share,0.49024322206920434
2003,together,0.45885142923610267
2003,long,1.0
2003,lives,1.0
2003,lives,0.762440948604697
2003,life,0.6470578025885861
2003,lives,0.5580592650996611
2003,honour,0.510998116450145
2003,democracy,0.4779920467448456
2003,struggle,0.4460654490873549
2003,amongst,0.578622619599125
2003,greatest,0.5680980046688795
2003,today,0.4532843062543599
2003,freedom,0.3701268145960084
2003,together,0.7977182810921065
2003,freedom,0.6030303010723881
2003,death,1.0
2003,leadership,0.7277996395033028
2003,respect,0.6857898254850843
2003,respect,0.6021252556104028
2003,political,0.5085665657038987
2003,life,0.4914136469969309
2003,people,0.3705642351191289
2003,suffering,1.0
2003,occasion,0.4566903106016591
2003,share,0.40936117398034927
2003,gentlemen,0.4078193292907838
2003,president,0.40081443722580967
2003,international,0.3983413982038972
2003,honour,0.37176968876594485
2003,opportunity,0.7744294457333558
2003,country,0.6326602829174021
